Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Unit_Price,Sales,Cost,Profit
ORD100000,2023-07-23,CUST3040,PROD225,STORE8,3,1760.83,5282.49,3635.0481460218875,1647.4418539781122
ORD100001,2022-11-06,CUST1709,PROD251,STORE5,3,902.1,2706.3,1953.208225907581,753.0917740924192
ORD100002,2024-04-09,CUST3648,PROD51,STORE1,2,808.41,1616.82,1263.4051477363187,353.41485226368127
ORD100003,2024-09-18,CUST1069,PROD155,STORE31,3,762.06,2286.18,1933.3047161258025,352.8752838741973
ORD100004,2024-12-15,CUST5800,PROD242,STORE48,3,552.47,1657.41,1216.1592223650682,441.25077763493186
ORD100005,2024-03-01,CUST1045,PROD76,STORE19,5,1003.6,5018.0,4004.9073176739125,1013.0926823260875
ORD100006,2023-04-09,CUST4134,PROD297,STORE20,3,311.41,934.23,577.9523785649571,356.2776214350429
ORD100007,2023-11-09,CUST2654,PROD162,STORE23,3,699.43,2098.29,1681.547373419205,416.7426265807949
ORD100008,2024-09-05,CUST1916,PROD8,STORE31,2,1316.58,2633.16,2111.9179096904327,521.2420903095672
ORD100009,2023-11-01,CUST3544,PROD262,STORE46,1,1394.41,1394.41,972.3260740537945,422.08392594620557
ORD100010,2023-11-29,CUST2050,PROD35,STORE14,2,1540.52,3081.04,2283.4192937231937,797.6207062768062
ORD100011,2024-09-20,CUST2214,PROD34,STORE48,5,577.88,2889.4,2108.7126339384104,780.6873660615897
ORD100012,2022-03-19,CUST2814,PROD269,STORE38,2,61.2,122.4,94.50002086610014,27.899979133899862
ORD100013,2023-06-18,CUST4299,PROD73,STORE47,5,1944.38,9721.900000000001,6791.67858178834,2930.2214182116613
ORD100014,2022-04-18,CUST5963,PROD242,STORE42,2,1880.42,3760.84,2581.4556168294716,1179.3843831705285
ORD100015,2024-02-03,CUST5319,PROD80,STORE43,4,1177.42,4709.68,3770.4135888387154,939.2664111612849
ORD100016,2022-01-15,CUST4366,PROD159,STORE49,1,57.46,57.46,48.25232574831195,9.207674251688054
ORD100017,2023-01-05,CUST2081,PROD294,STORE44,2,1441.97,2883.94,2260.5477139914974,623.3922860085027
ORD100018,2022-07-24,CUST1812,PROD83,STORE21,4,1741.25,6965.0,5654.414936026265,1310.5850639737346
ORD100019,2024-05-14,CUST5816,PROD33,STORE37,2,877.02,1754.04,1442.382549678109,311.657450321891
ORD100020,2023-03-17,CUST1924,PROD254,STORE35,5,551.18,2755.8999999999996,1872.208849772361,883.6911502276387
ORD100021,2024-05-08,CUST5591,PROD142,STORE15,4,1738.61,6954.44,5871.383827660366,1083.056172339634
ORD100022,2022-08-15,CUST4169,PROD176,STORE3,3,1808.31,5424.93,3959.970155345917,1464.959844654083
ORD100023,2023-06-12,CUST3105,PROD59,STORE41,4,341.17,1364.68,1054.9502903556988,309.72970964430124
ORD100024,2022-12-20,CUST2370,PROD141,STORE7,3,827.06,2481.18,1590.4249114624008,890.755088537599
ORD100025,2023-09-15,CUST1528,PROD11,STORE32,2,1225.98,2451.96,1834.276100330303,617.683899669697
ORD100026,2024-10-21,CUST1631,PROD252,STORE23,5,1050.84,5254.2,3685.0382178450454,1569.1617821549544
ORD100027,2024-07-15,CUST1534,PROD270,STORE13,1,1740.01,1740.01,1449.0446684616913,290.96533153830865
ORD100028,2022-06-10,CUST5577,PROD247,STORE23,1,1991.35,1991.35,1299.2708923583846,692.0791076416153
ORD100029,2024-05-20,CUST3769,PROD188,STORE15,5,318.47,1592.3500000000001,1143.7412035035106,448.6087964964895
ORD100030,2023-03-20,CUST1212,PROD263,STORE41,2,54.06,108.12,87.3980995827104,20.721900417289604
ORD100031,2023-04-08,CUST3195,PROD109,STORE29,2,260.25,520.5,420.22234390405896,100.27765609594104
ORD100032,2024-11-19,CUST2119,PROD222,STORE22,2,735.59,1471.18,1054.9564248766294,416.22357512337067
ORD100033,2023-04-18,CUST5555,PROD100,STORE14,1,1456.98,1456.98,1057.462345315784,399.51765468421604
ORD100034,2023-07-11,CUST5168,PROD151,STORE21,1,407.85,407.85,305.5827060562737,102.26729394372632
ORD100035,2022-03-21,CUST5426,PROD167,STORE39,1,1600.64,1600.64,1270.8790264833674,329.7609735166327
ORD100036,2024-11-28,CUST5144,PROD151,STORE36,2,141.19,282.38,180.17978658133893,102.20021341866106
ORD100037,2022-08-28,CUST4293,PROD183,STORE17,3,1542.65,4627.950000000001,2878.77052806172,1749.1794719382806
ORD100038,2023-07-11,CUST1793,PROD166,STORE12,3,993.91,2981.73,2155.6935101533973,826.0364898466028
ORD100039,2023-08-13,CUST5600,PROD218,STORE19,2,274.17,548.34,461.4698454734119,86.87015452658812
ORD100040,2022-09-26,CUST3587,PROD0,STORE33,5,552.36,2761.8,1958.1814459479485,803.6185540520516
ORD100041,2022-12-01,CUST3866,PROD128,STORE36,2,268.55,537.1,357.9227836884163,179.17721631158372
ORD100042,2022-11-08,CUST1679,PROD119,STORE3,1,1246.99,1246.99,1059.4261637829522,187.56383621704776
ORD100043,2024-12-12,CUST3793,PROD164,STORE3,5,1483.76,7418.8,5131.8449746240885,2286.9550253759116
ORD100044,2024-12-27,CUST2202,PROD139,STORE8,5,1149.28,5746.4,3663.511933867889,2082.8880661321105
ORD100045,2023-11-25,CUST1056,PROD67,STORE11,2,1937.61,3875.22,2498.311823216066,1376.9081767839339
ORD100046,2022-02-03,CUST1335,PROD70,STORE21,3,1195.45,3586.3500000000004,2738.826564609986,847.5234353900146
ORD100047,2023-01-21,CUST3543,PROD236,STORE31,5,90.94,454.7,317.5065278882853,137.1934721117147
ORD100048,2022-09-06,CUST1583,PROD175,STORE12,3,1466.91,4400.7300000000005,3435.1825906841436,965.5474093158568
ORD100049,2024-12-06,CUST3242,PROD39,STORE38,5,924.91,4624.55,3503.341130934549,1121.2088690654514
ORD100050,2024-03-04,CUST5098,PROD142,STORE41,3,1169.49,3508.4700000000003,2582.2399366420277,926.2300633579725
ORD100051,2024-05-01,CUST3249,PROD153,STORE6,2,281.99,563.98,465.04979891530996,98.93020108469005
ORD100052,2024-05-23,CUST4262,PROD182,STORE45,2,225.14,450.28,308.18637503896514,142.09362496103483
ORD100053,2023-01-11,CUST2931,PROD169,STORE22,3,745.96,2237.88,1713.9052097228914,523.9747902771087
ORD100054,2023-12-25,CUST5302,PROD24,STORE39,1,1586.37,1586.37,1046.3732559363257,539.9967440636742
