Month,Sales
2022-01,4359564.13
2022-02,3724288.68
2022-03,4280821.03
2022-04,4420936.11
2022-05,4109188.97
2022-06,4238460.95
2022-07,4289925.35
2022-08,4543987.44
2022-09,4200403.69
2022-10,4057593.71
2022-11,4039990.34
2022-12,4380201.08
2023-01,4355964.83
2023-02,3903901.07
2023-03,4245427.45
2023-04,3943215.06
2023-05,4272219.33
2023-06,4199267.0
2023-07,4290800.1
2023-08,4182928.32
2023-09,4056408.5
2023-10,4331454.89
2023-11,4089634.08
2023-12,4164680.0
2024-01,4338233.99
2024-02,4049935.15
2024-03,4406106.63
2024-04,4032748.6
2024-05,4351186.21
2024-06,4185563.67
2024-07,4239765.9
2024-08,4159481.34
2024-09,4107209.04
2024-10,4160652.53
2024-11,4231807.43
2024-12,4225654.17
